Nombre;Sexe;Annee;Prenoms;Nombre total cumule par annee
9;F;2012;Ema;98
7;F;2013;Ema;105
8;F;2011;Emeline;74
39;M;2012;Emile;327
19;M;2016;Emile;422
10;M;2013;Émile;71
11;F;2005;Emilia;11
7;F;2009;Emilia;40
6;F;2010;Emilia;46
10;F;2011;Emilia;56
12;F;2012;Emilia;68
12;F;2018;Emilia;134
77;F;2005;Emilie;178
93;F;2007;Emilie;354
57;F;2012;Emilie;689
24;F;2016;Emilie;826
11;F;2005;Émilie;20
8;F;2011;Émilie;86
17;F;2013;Émilie;109
15;F;2015;Émilie;146
24;F;2016;Émilie;170
20;F;2018;Émilie;208
9;M;2004;Emilien;9
13;M;2008;Emilien;57
7;M;2010;Emilien;71
10;M;2011;Emilien;81
7;M;2013;Emilien;97
6;M;2015;Emilien;110
12;M;2017;Emilio;81
12;F;2004;Emily;12
7;F;2008;Emily;38
9;M;2013;Emir;49
5;M;2014;Emir;54
239;F;2009;Emma;1563
251;F;2010;Emma;1814
26;M;2009;Emmanuel;213
34;M;2017;Emmanuel;461
6;F;2014;Emmanuella;11
12;F;2011;Emmanuelle;106
18;F;2017;Emmanuelle;173
9;F;2009;Emmie;9
6;F;2010;Emmie;15
6;F;2012;Emmie;21
8;F;2005;Emmy;18
13;F;2008;Emmy;44
15;F;2009;Emmy;59
27;F;2012;Emmy;122
12;F;2015;Emna;103
22;F;2016;Emna;125
19;F;2017;Emna;144
20;F;2011;Emy;89
6;M;2007;Enguerrand;28
8;M;2011;Jibril;39
5;F;2007;Jihane;10
5;F;2008;Jihane;15
7;F;2010;Jihane;22
7;M;2005;Jimmy;12
7;M;2015;Jimmy;65
14;M;2007;Joachim;62
30;M;2009;Joachim;126
36;M;2012;Joachim;223
40;M;2014;Joachim;310
33;M;2015;Joachim;343
6;M;2011;Joakim;16
11;M;2008;Joan;22
5;M;2015;Joan;60
8;F;2009;Joana;52
9;F;2010;Joana;61
5;F;2016;Joana;87
6;F;2018;Joana;93
6;F;2016;Joanne;25
5;F;2018;Joanne;36
8;M;2005;Joaquim;8
10;M;2009;Joaquim;33
7;M;2010;Joaquim;40
6;M;2012;Joaquim;46
5;M;2016;Joaquim;75
6;M;2006;Joe;11
8;M;2004;Joël;8
10;M;2005;Joël;18
8;M;2016;Joël;71
6;M;2014;Joey;45
14;M;2005;Johan;26
17;M;2011;Johan;116
6;M;2011;Johann;30
8;M;2015;Johann;45
11;F;2018;Johanna;130
5;M;2012;Jonah;23
6;M;2013;Jonah;29
6;M;2015;Jonah;41
19;M;2004;Jonas;19
29;M;2005;Jonas;48
23;M;2015;Jonas;227
27;M;2018;Jonas;313
12;M;2018;Jonathan;312
15;M;2005;Jordan;26
11;M;2010;Jordan;86
11;M;2011;Jordan;97
11;M;2015;Jordan;141
5;F;2008;Jordane;5
5;M;2010;Joris;52
6;M;2011;Joris;58
93;M;2006;Joseph;248
170;M;2015;Joseph;1398
52;F;2004;Joséphine;52
73;F;2005;Joséphine;125
52;F;2008;Joséphine;313
89;F;2011;Joséphine;539
109;F;2012;Joséphine;648
106;F;2013;Joséphine;754
11;M;2013;Josh;45
8;M;2018;Josh;80
38;M;2010;Joshua;213
29;M;2016;Joshua;480
31;M;2018;Joshua;559
5;M;2011;Josué;36
13;M;2018;Joud;53
5;F;2010;Joy;16
14;F;2016;Joy;72
12;F;2013;Joyce;68
9;F;2017;Joyce;103
13;F;2018;Joyce;116
5;M;2012;Juan;11
8;M;2015;Juan;19
6;M;2005;Jude;6
9;M;2009;Jude;20
5;F;2018;Jude;65
20;F;2012;Judith;196
24;F;2015;Judith;261
216;M;2007;Jules;773
190;M;2008;Jules;963
163;M;2011;Jules;1495
85;F;2004;Julia;85
113;F;2012;Julia;747
16;M;2007;Julian;56
19;M;2016;Julian;231
7;F;2006;Juliana;7
6;F;2007;Julianne;6
37;F;2012;Julie;766
40;M;2013;Julien;850
147;F;2006;Juliette;451
154;F;2007;Juliette;605
164;F;2008;Juliette;769
175;F;2009;Juliette;944
164;F;2010;Juliette;1108
180;F;2011;Juliette;1288
144;F;2014;Juliette;1734
5;M;2006;Junior;5
7;F;2009;Junon;7
5;F;2018;Junon;17
14;M;2005;Justin;26
10;M;2008;Justin;57
5;F;2018;Élisabeth;28
45;F;2007;Elise;238
9;F;2004;Élise;9
6;F;2005;Élise;15
11;F;2006;Élise;26
14;F;2009;Élise;50
32;F;2015;Élise;162
5;F;2005;Elissa;5
10;F;2009;Elissa;24
5;F;2011;Elissa;40
11;F;2014;Eliza;28
6;F;2017;Eliza;39
7;F;2012;Elizabeth;30
9;F;2013;Elizabeth;39
5;F;2018;Elizabeth;67
44;F;2009;Ella;182
29;F;2010;Ella;211
42;F;2013;Ella;337
42;F;2015;Ella;428
67;F;2016;Ella;495
10;F;2013;Ellie;53
8;M;2004;Elliott;8
12;M;2014;Elliott;108
9;F;2017;Elly;70
25;F;2009;Elodie;184
10;F;2010;Elodie;194
9;F;2015;Elodie;239
5;F;2009;Élodie;19
6;F;2011;Élodie;30
22;M;2004;Eloi;22
12;M;2014;Eloi;197
7;M;2012;Éloi;12
11;M;2015;Éloi;32
44;F;2004;Eloïse;44
31;F;2014;Eloïse;433
22;F;2018;Eloïse;516
13;F;2014;Éloïse;79
12;F;2018;Éloïse;128
8;M;2017;Elon;16
10;M;2018;Elon;26
5;M;2013;Elone;15
6;F;2007;Elora;12
12;M;2011;Elouan;92
5;M;2013;Elouan;97
63;F;2004;Elsa;63
59;F;2007;Elsa;243
71;F;2008;Elsa;314
69;F;2010;Elsa;453
72;F;2012;Elsa;594
60;F;2013;Elsa;654
88;F;2014;Elsa;742
7;F;2007;Elvire;23
6;F;2010;Ely;12
6;F;2004;Elya;6
9;F;2008;Elya;38
15;F;2013;Elya;102
19;F;2014;Elya;121
20;F;2017;Elya;181
11;M;2007;Elyas;35
18;M;2007;Elyes;57
19;M;2008;Elyes;76
20;M;2009;Elyes;96
14;M;2014;Elyes;175
10;M;2016;Elyes;191
8;F;2014;Elyne;21
6;F;2006;Elyssa;6
7;F;2009;Elyssa;27
10;F;2013;Elyssa;54
5;F;2017;Elyssa;87
12;F;2011;Ema;89
9;F;2006;Emeline;26
14;F;2007;Emeline;40
9;F;2009;Emeline;59
7;F;2010;Emeline;66
5;F;2015;Émie;5
5;M;2010;Emil;23
6;M;2012;Emil;29
31;M;2013;Emile;358
18;M;2015;Emile;403
6;M;2009;Émile;28
12;M;2010;Émile;40
20;M;2014;Émile;91
14;F;2017;Emilia;122
101;F;2004;Emilie;101
6;F;2008;Émilie;54
11;F;2009;Émilie;65
22;F;2014;Émilie;131
14;M;2005;Emilien;23
13;M;2007;Emilien;44
9;M;2012;Emilien;90
10;M;2015;Emilio;62
9;F;2009;Emily;47
5;F;2018;Emily;125
5;M;2007;Emir;5
6;M;2016;Emir;68
246;F;2007;Emma;1068
216;F;2011;Emma;2030
169;F;2013;Emma;2376
179;F;2015;Emma;2716
29;M;2010;Emmanuel;242
21;F;2005;Jessica;50
13;F;2015;Jessica;210
8;F;2016;Jessica;218
6;F;2008;Jessy;12
5;M;2006;Jibril;5
9;M;2009;Jibril;20
7;F;2013;Jihane;29
8;M;2010;Jimmy;35
13;M;2004;Joachim;13
13;M;2005;Joachim;26
29;M;2010;Joachim;155
7;M;2014;Joakim;43
6;M;2005;Joan;6
5;M;2006;Joan;11
5;M;2010;Joan;32
7;F;2005;Joana;23
6;F;2011;Joana;67
7;F;2014;Joana;82
10;F;2014;Joanna;30
5;M;2013;Joaquim;51
11;M;2018;Joaquim;97
5;M;2011;Joe;16
7;M;2006;Joël;25
7;M;2013;Joël;53
5;M;2015;Joël;63
5;M;2010;Joey;22
12;M;2004;Johan;12
13;M;2006;Johan;39
13;M;2007;Johan;52
16;M;2010;Johan;99
21;M;2013;Johan;146
8;M;2004;Johann;8
5;M;2010;Johann;24
7;M;2012;Johann;37
6;M;2017;Johann;58
14;F;2015;Johanna;108
6;M;2007;John;36
10;M;2012;John;73
10;M;2013;John;83
17;M;2014;John;100
5;M;2015;John;105
5;M;2016;John;110
7;M;2005;Jonah;7
8;M;2016;Jonah;49
19;M;2012;Jonas;169
34;M;2008;Jonathan;154
8;M;2014;Jonathan;261
11;M;2013;Jordan;117
13;M;2014;Jordan;130
6;M;2006;Joris;23
5;M;2012;Joris;63
90;M;2008;Joseph;422
120;M;2010;Joseph;669
126;M;2011;Joseph;795
150;M;2013;Joseph;1065
73;F;2009;Joséphine;386
97;F;2018;Joséphine;1302
5;M;2006;Josh;11
7;M;2015;Josh;59
26;M;2004;Joshua;26
24;M;2006;Joshua;81
22;M;2007;Joshua;103
51;M;2012;Joshua;318
6;M;2005;Josué;6
6;M;2007;Josué;18
6;M;2013;Josué;42
8;M;2017;Josué;50
5;M;2014;Joud;11
10;F;2017;Joy;82
16;F;2018;Joy;98
5;M;2007;Jude;11
10;M;2016;Jude;46
9;M;2018;Jude;60
27;F;2008;Judith;109
201;M;2009;Jules;1164
134;M;2017;Jules;2485
119;M;2018;Jules;2604
85;F;2010;Julia;547
84;F;2013;Julia;831
77;F;2014;Julia;908
74;F;2017;Julia;1171
15;M;2004;Julian;15
24;M;2014;Julian;197
114;M;2007;Julien;488
74;M;2009;Julien;664
48;M;2011;Julien;772
167;F;2004;Juliette;167
163;F;2012;Juliette;1451
16;F;2014;June;69
8;M;2006;Justin;34
13;M;2017;Justin;142
64;F;2007;Justine;250
48;F;2009;Justine;349
26;F;2014;Justine;534
26;F;2015;Justine;560
9;F;2004;Kadiatou;9
14;F;2005;Kadiatou;23
13;F;2006;Kadiatou;36
7;F;2011;Kadiatou;68
10;F;2015;Kadiatou;105
11;F;2009;Hana;65
13;F;2012;Hana;111
16;F;2015;Hana;166
23;F;2017;Hana;220
26;F;2018;Hana;246
8;F;2007;Hanaé;23
17;F;2016;Hanaé;153
27;F;2018;Hannah;351
5;F;2018;Hanya;5
6;M;2005;Harold;12
5;M;2010;Harold;23
7;M;2012;Haron;13
5;M;2008;Haroun;10
8;M;2010;Haroun;18
6;M;2011;Haroun;24
5;M;2012;Haroune;5
6;M;2004;Harry;6
8;M;2007;Harry;21
11;M;2009;Harry;46
7;M;2011;Harry;60
7;M;2016;Harry;98
5;M;2006;Hassan;5
5;M;2009;Hassan;18
6;M;2018;Hassan;93
29;F;2010;Hawa;156
31;F;2016;Hawa;312
6;F;2011;Haya;33
5;M;2007;Hayden;5
5;M;2009;Hayden;16
8;M;2011;Hayden;29
11;M;2014;Hayden;53
14;M;2018;Hayden;104
47;M;2006;Hector;112
